admin_id,registration_id,Manufacturer,registration,aircraft_id
1,13773,McDonnell Douglas,EC-FLK,1949
1,1801,Antonov ,UR-17998,537
1,12516,Let ,HK-4146,1762
1,11948,Ilyushin ,CU-T1539,2324
1,5600,Cessna ,PT-MPA,1687
1,1899,Antonov ,YV-2447P,537
1,14662,Swearingen ,N811BC,1390
1,13207,Lockheed ,87-0127,2227
1,1770,Antonov ,UN-11007,608
1,520,Antonov ,3C-ZZY,1587
1,10895,Fokker ,HC-CDA,1381
1,7208,De Havilland Canada,PK-LTZ,722
1,2550,Beech ,OB-1700,2325
1,13567,Lockheed ,N926AU,2326
1,6939,De Havilland Canada,DQ-FIE,971
1,10225,Embraer ,DQ-AFP,1417
1,1769,Antonov ,UN-11003,1031
1,1523,Antonov ,RA-40490,537
1,12507,Let ,EP-830,1905
1,7034,De Havilland Canada,LN-WIK,1711
1,14696,Swearingen ,ZK-POA,1390
1,1240,Antonov ,EK-26060,1474
1,7668,Douglas Aircraft Company,N960N,857
1,14554,Swearingen ,C6-REX,1390
1,14684,Swearingen ,VH-TFU,1969
1,14126,Rockwell ,N972NR,2327
1,7616,Douglas Aircraft Company,N763NC,1987
1,335,Airbus ,N368NB,2133
1,14530,Swearingen ,C-FKEX,1264
1,1821,Antonov ,UR-84559,109
1,5553,Cessna ,OY-JET,2190
1,4309,Britten-Norman,C6-ASA,1148
1,11443,Harbin ,AF-216,1974
1,312,Airbus ,JY-JAR,1681
1,6545,Dassault ,RA-09007,752
1,2987,Boeing ,C-GLMC,2328
1,2637,Beech ,YV-783CP,2299
1,595,Antonov ,9Q-CVG,1031
