accident_id,admin_id,accd_date,location,Fatalities,registration_id,cat,Country,aircraft_id
2354,1,04/15/1960,near Marburg,0,1009,A1,Germany,78
2355,1,04/18/1960,near Stephenville...,9,1489,A1,Canada,229
2356,1,04/19/1960,Bogotá-Eldor...,37,7377,A1,Colombia,17
2357,1,04/19/1960,Kota Tinggi,0,14832,A1,Malaysia,421
2358,1,04/20/1960,near Hickory Airp...,0,8979,A2,USA,372
2359,1,04/22/1960,Southend Mun...,0,6537,A2,U.K.,459
2360,1,04/22/1960,near Bunia Airpor...,35,11574,A1,D.R. Congo,18
2361,1,04/24/1960,Nyurba Airpo...,0,4132,A1,Russia,83
2362,1,04/27/1960,Sverdlovsk-K...,1,4619,A1,Russia,460
2363,1,04/28/1960,near Calabozo,13,15221,C1,Venezuela,5
2364,1,04/28/1960,"Belém, PA",0,2318,O1,Brazil,60
2365,1,05-03-1960,Aguadilla-Ra...,5,12220,A1,Puerto Rico,2
2366,1,05-05-1960,"Enken, Ayano...",5,4682,A1,Russia,36
2367,1,05-10-1960,Villemoleix,0,55,A1,France,461
2368,1,05/15/1960,near Tora-Tonga,12,7024,A1,Sudan,9
2369,1,05/17/1960,near El Sosneado,8,8039,A1,Argentina,52
2370,1,05/19/1960,near Paris-Orly A...,1,6344,A2,France,462
2371,1,05/19/1960,David Airpor...,0,15255,A1,Panama,2
2372,1,05/21/1960,La Paz-El Al...,0,5267,A1,Bolivia,332
2373,1,05/23/1960,Atlanta Airp...,4,10940,A1,USA,463
2374,1,05/25/1960,El Coco,0,13658,A1,Costa Rica,464
2375,1,05/27/1960,Tehran-Mehra...,0,11422,A1,Iran,158
2376,1,05/29/1960,Lourdes-Tarb...,0,6550,A1,France,465
2377,1,05/31/1960,Dessau Airport,0,2564,A1,Germany,466
2378,1,06-10-1960,near Tkvarcheli,31,4808,A1,Georgia,334
2379,1,06-10-1960,"near Mackay, QLD",29,14086,A1,Australia,420
2380,1,06/14/1960,Mount Gilber...,14,8573,A1,USA,72
2381,1,06/17/1960,Mukeiras Air...,0,14453,A1,Yemen,49
2382,1,06/19/1960,near Paramaribo-Z...,3,1475,A1,Suriname,229
2383,1,06/20/1960,,0,13465,U1,Unknown country,7
2384,1,06/24/1960,Guanabara Ba...,54,12344,A1,Brazil,467
2385,1,06/25/1960,near San José-La ...,1,13695,A1,Costa Rica,8
2386,1,06/27/1960,"near Newry, ME",5,1503,A1,USA,230
2387,1,07-06-1960,Blackpool Ai...,0,6562,A2,U.K.,28
2388,1,07-06-1960,near Aldan,3,4829,A1,Russia,109
2389,1,07-07-1960,near Oakington RA...,6,14543,A1,U.K.,143
2390,1,07-10-1960,near Sharjah,16,14313,A1,U.A.E.,8
2391,1,07-11-1960,near Quito-Marisc...,18,1117,A1,Ecuador,468
2392,1,07/14/1960,near Polillo Island,1,9050,A1,Philippines,360
2393,1,07/14/1960,near Mindanao,0,11800,A1,Philippines,10
2394,1,07/15/1960,near Jimma,1,6028,A1,Ethiopia,10
2395,1,07/17/1960,Kingston-Pal...,0,5387,H2,Jamaica,469
2396,1,07/18/1960,unknown,0,888,A1,Unknown country,32
2397,1,07/19/1960,Rushengo,39,5246,A1,D.R. Congo,206
2398,1,07/20/1960,near Syktyvkar,23,4469,A1,Russia,340
2399,1,07/21/1960,Minsk-1 Airp...,8,3922,A1,Belarus,61
2400,1,07/22/1960,Vockerode,7,769,A1,Germany,470
2401,1,07/31/1960,near Rimini Airpo...,1,5479,A1,Italy,188
2402,1,08-01-1960,near Tipuani,6,13496,A1,Bolivia,8
2403,1,08-11-1960,Camp Tuto,0,549,A1,Greenland,206
2404,1,08/15/1960,São Paulo-Vi...,0,12291,A1,Brazil,405
2405,1,08/17/1960,near Tarasovich,34,4635,A1,Ukraine,436
2406,1,08/20/1960,"near Weeks Lake, QC",0,4989,A1,Canada,67
2407,1,08/22/1960,Cairo Intern...,0,6681,A2,Egypt,435
2408,1,08/23/1960,Port Lyautey,0,1722,A1,Morocco,74
2409,1,08/24/1960,"Rio Jaru, RO",0,12154,A1,Brazil,2
2410,1,08/24/1960,Mauritius-Pl...,0,13993,A1,Mauritius,168
2411,1,08/24/1960,near Heraklion-N....,3,6610,A1,Greece,207
2412,1,08/24/1960,El Palmar,0,5270,A1,Bolivia,471
2413,1,08/24/1960,Dutovo region,0,4838,A1,Russia,300
2414,1,08/25/1960,near Beirut,0,6710,A2,Lebanon,472
2415,1,08/25/1960,near Tczew,6,13118,A1,Poland,83
2416,1,08/29/1960,near Dakar-Yoff A...,63,6171,A1,Senegal,168
2417,1,08/29/1960,Shakhtersk A...,0,4685,A1,Russia,36
2418,1,09-01-1960,near Mpouya,0,15038,A1,D.R. Congo,9
2419,1,09-01-1960,near Nosok,0,4837,A1,Russia,473
2420,1,09-02-1960,near Zikhnovo,18,3967,A1,Russia,266
2421,1,09-03-1960,near El Badary,0,15399,A1,Egypt,9
2422,1,09-07-1960,near Salto,31,8007,A1,Uruguay,71
2423,1,09-11-1960,"near Empire, CO",9,1648,A1,USA,394
2424,1,09-12-1960,Agartala-Sin...,0,14307,A2,India,64
2425,1,09/14/1960,Dallas-Love ...,1,9976,O2,USA,360
2426,1,09/14/1960,New York-La ...,0,10036,A1,USA,412
2427,1,09/16/1960,near Batna,11,544,A1,Algeria,209
2428,1,09/17/1960,Jersey-State...,0,6667,A2,U.K.,351
2429,1,09/19/1960,near Guam-Agana N...,80,11036,A1,Guam,428
2430,1,09/19/1960,near Chushul,5,7733,A1,India,206
2431,1,09/22/1960,near Belém Airpor...,6,12151,A1,Brazil,2
2432,1,09/22/1960,"near Okinawa, Japan",29,1725,A1,Pacific Ocean,474
2433,1,09/26/1960,near Moskva-Shere...,31,11492,A1,Russia,475
2434,1,09/26/1960,Brest Airport,1,4273,A1,Belarus,340
2435,1,09/28/1960,near Juchitepec,8,14620,A1,Mexico,105
2436,1,09/29/1960,"near Elba, Italy ...",21,13270,A1,Mediterranean Sea,476
2437,1,09/29/1960,San Antonio-...,0,1038,A1,USA,477
2438,1,09/30/1960,"Orinda, CA",6,1779,A1,USA,286
2439,1,10-01-1960,Orlando-Muni...,0,9610,A2,USA,253
2440,1,10-04-1960,near Boston-Logan...,62,9890,A1,USA,412
2441,1,10-04-1960,"Sacramento, CA",0,9629,A2,USA,52
2442,1,10-08-1960,Mironeasa-Iassy,0,15118,A1,Romania,36
2443,1,10-09-1960,Southend Mun...,0,6577,A1,U.K.,150
2444,1,10-11-1960,near Aden,7,14829,A1,Yemen,329
2445,1,10/14/1960,Mt Capanne,11,7647,A1,Italy,478
2446,1,10/15/1960,"Plain City, UT",2,8461,A1,USA,52
2447,1,10/15/1960,near Sharypovo Ai...,0,3974,A1,Russia,300
2448,1,10/20/1960,near Ust-Orda,3,4296,A1,Russia,386
2449,1,10/22/1960,Wau Airport ...,0,3039,A1,P.N. Guinea,12
2450,1,10/28/1960,"near Missoula, MT",12,9681,A1,USA,18
2451,1,10/29/1960,Toledo-Expre...,22,8408,A1,USA,52
2452,1,10/29/1960,Nairobi-Emba...,0,15400,A2,Kenya,479
2453,1,10/30/1960,near Penza Airpor...,5,4431,A1,Russia,334
2454,1,10/31/1960,McMurdo Sound,0,158,A1,Antarctica,244
2455,1,11-05-1960,Bhairawa Air...,4,2773,A1,Nepal,10
2456,1,11-07-1960,near Quito,37,7063,A1,Ecuador,480
2457,1,11-08-1960,Palmar Sur A...,0,13696,A1,Costa Rica,2
2458,1,11-08-1960,Barcelona Ai...,0,10347,A1,Spain,168
2459,1,11-11-1960,Khartoum-Civ...,0,6640,A1,Sudan,481
2460,1,11-11-1960,Zyryanka Air...,5,4692,A1,Russia,36
2461,1,11/17/1960,Denver-Stapl...,0,9319,A2,USA,71
2462,1,11/18/1960,Limestone-Lo...,1,1689,A1,USA,378
2463,1,11/21/1960,Nassau-Oakes...,0,14140,A1,Bahamas,5
2464,1,11/23/1960,Mount Baco,33,11796,A1,Philippines,64
2465,1,11/25/1960,near Leningrad-Sh...,9,4810,A1,Russia,482
2466,1,11/26/1960,Santa Cruz-E...,7,5272,A1,Bolivia,302
2467,1,11/26/1960,near Plain of Jars,2,3177,A1,Laos,52
2468,1,12-04-1960,near Chernovo,14,4438,A1,Russia,340
2469,1,12-07-1960,"Cachimbo, PA",15,12130,A1,Brazil,2
2470,1,12-10-1960,near Repinka,12,4222,A1,Kazakhstan,300
2471,1,12-11-1960,Lisboa Airpo...,0,590,A1,Portugal,59
2472,1,12-11-1960,near San Andrés d...,31,13348,A1,Argentina,483
2473,1,12-12-1960,"near South Head, ...",3,14023,A1,Australia,64
2474,1,12/13/1960,Yamburg Airport,0,3918,A1,Russia,300
2475,1,12/14/1960,Mawson Station,0,3037,O1,Antarctica,12
2476,1,12/15/1960,Vientiane-Wa...,0,14897,C1,Laos,484
2477,1,12/16/1960,"New York, NY",90,10679,A1,USA,485
2478,1,12/16/1960,Miller Army ...,44,10247,A1,USA,200
2479,1,12/17/1960,near München-Riem...,52,1625,A1,Germany,486
2480,1,12/17/1960,Puerto Montt,4,2644,A1,Chile,226
2481,1,12/18/1960,Düsseldorf A...,0,6673,A2,Germany,455
2482,1,12/18/1960,São Paulo-Co...,0,12314,A1,Brazil,424
2483,1,12/21/1960,Mogadishu,0,8304,U1,Somalia,8
2484,1,12/21/1960,"Peledui, Len...",0,3916,A1,Russia,300
2485,1,12/22/1960,near Cebu-Lahug A...,28,11795,A1,Philippines,10
2486,1,12/23/1960,"Yampi Sound,...",0,13973,O1,Australia,344
2487,1,12/24/1960,London Airpo...,0,6698,A2,U.K.,487
2488,1,12/26/1960,near Ulyanovsk Ai...,17,4620,A1,Russia,460
2489,1,01-02-1961,near Praha-Ruzyne...,10,11530,A1,Czech Rep.,488
2490,1,01-02-1961,near Biak,5,2469,A1,Indonesia,299
2491,1,01-03-1961,Koivulahti,25,11506,A1,Finland,10
2492,1,01-09-1961,Spangdahlem ...,0,1471,A1,Germany,229
2493,1,01-10-1961,Taif Air Bas...,0,1014,A1,Saudi Arabia,31
2494,1,01/15/1961,near Hopkinsville...,5,1408,A1,USA,206
2495,1,01/19/1961,New York-Idl...,4,14745,A1,USA,489
2496,1,01/22/1961,"near Katy, TX",2,8467,A1,USA,52
2497,1,01/22/1961,Midway Islan...,9,290,A1,U.S. M.O. Islands,244
2498,1,01/23/1961,Bilbao Airpo...,0,819,A1,Spain,490
2499,1,01/23/1961,Nairobi-East...,0,14534,A1,Kenya,103
2500,1,01/23/1961,Vilkerath,4,6934,A1,Germany,380
2501,1,01/23/1961,near Dnepropetrov...,0,4460,A1,Ukraine,491
2502,1,01/24/1961,Mount Burang...,21,11879,A1,Indonesia,10
2503,1,01/25/1961,near Roma-Fiumici...,0,6686,A2,Italy,422
2504,1,01/26/1961,Atlantic Ocean,23,1396,A1,Atlantic Ocean,255
2505,1,01/26/1961,Belo Horizon...,0,12231,A1,Brazil,63
2506,1,01/27/1961,"near Mendoza, MD",2,5651,A1,Argentina,492
2507,1,01/27/1961,Praha-Ruzyne...,0,11529,H2,Czech Rep.,488
2508,1,01/28/1961,near Montauk Poin...,6,10504,A1,USA,433
2509,1,02-01-1961,Vladivostok ...,0,4283,A1,Russia,386
