admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,2305,Cessna 550 Citation II,Cessna ,M
1,2306,CT-39A Sabreliner,Sabreliner,C
1,2307,Bushmaster 2000,Bushmaster ,C
1,2308,Boeing 747-244BSF,Boeing ,C
1,2309,Canadair CRJ-200LR,Canadair ,C
1,2310,Cessna 208B Grand Caravan,Cessna ,M
1,2311,Boeing 747-230F (SCD),Boeing ,C
1,2312,Beech B300 Super King Air 350,Beech ,C
1,2313,Convair CV-340-70,Convair ,C
1,2314,Boeing 727-2M7F,Boeing ,C
1,2315,Boeing 737-2A9C,Boeing ,C
1,2316,MD-83,McDonnell Douglas,C
1,2317,Boeing 747-212BSF,Boeing ,C
1,2318,Let L-410UVP-E4,Let ,C
1,2319,Boeing 737-242,Boeing ,C
1,2320,DHC-8-315Q Dash 8,De Havilland Canada,C
1,2321,Airbus A310-304ET,Airbus ,C
1,2322,Canadair CRJ-440LR,Canadair ,C
1,2323,Antonov An-26B-100,Antonov ,C
1,2324,Ilyushin Il-18D-40,Ilyushin ,C
1,2325,Beech B200 Catpass 250,Beech ,C
1,2326,Lockheed P-3B Orion,Lockheed ,C
1,2327,Rockwell Sabreliner 80,Rockwell ,C
1,2328,Boeing 767-31KER,Boeing ,C
1,2329,Hawker Siddeley HS-780 Andover C.1,Hawker ,C
1,2330,Boeing 727-2M7,Boeing ,C
1,2331,Douglas Super R4D-8 (DC-3S),Douglas ,C
1,2332,Boeing 737-2K5,Boeing ,C
1,2333,IPTN/CASA CN-235M-10,IPTN/CASA ,M
1,2334,Airbus A340-313X,Airbus ,C
1,2335,HESA IrAn-140,HESA ,C
1,2336,Boeing 737-31S,Boeing ,C
1,2337,Boeing 737-244,Boeing ,C
1,2338,DHC-8-202Q Dash 8,De Havilland Canada,C
1,2339,NAMC YS-11-500R,NAMC ,C
1,2340,Boeing E-8C (707),Boeing ,M
1,2341,Boeing 737-2L9,Boeing ,C
1,2342,BN-2A Trislander Mk.III-3,Britten-Norman,C
1,2343,Boeing 727-277F,Boeing ,C
1,2344,Let L-410UVP-E19A,Let ,C
1,2345,Boeing 727-22F,Boeing ,C
